match_id;duration;start_time;radiant_team_id;radiant_name;dire_team_id;dire_name;leagueid;league_name;series_id;series_type;radiant_score;dire_score;radiant_win;version
8037582380;3058;1731693729;8375259.0;Infinity;9450071;Fusion Esports;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926062;1;27;31;False;21.0
8037581575;2085;1731693700;9546351.0;BladeBreakers;9545759;Waska;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926066;1;33;17;True;21.0
8037578664;1617;1731693603;7554697.0;Nigma Galaxy;8494848;Winter Bear;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926061;1;20;14;True;21.0
8037575380;2223;1731693615;9255039.0;1w Team;9594647;PuckChamp;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926084;1;30;11;True;21.0
8037571966;2573;1731693623;9303383.0;L1GA TEAM;8724984;Virtus.pro;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926083;1;25;11;True;21.0
8037569331;1587;1731693275;9381131.0;Uzumaki;9586420;KIBA ARMS;17366;Ultras Dota Pro League  2024-25;926082;1;49;20;True;21.0
8037565054;1238;1731693130;9601097.0;;8538597;;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926067;1;46;17;True;21.0
8037515337;2044;1731691437;9162417.0;Nightshade Esports;5014799;Nemiga Gaming;17381;European Pro League  2024-2025 Season;926054;1;36;40;True;21.0
8037500203;1259;1731690923;9539477.0;Advance Esports;9601305;Team Mansaf;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926073;1;5;30;False;21.0
8037489786;1494;1731690612;9425660.0;Shadow Avengers;2443375;Foxy gaming;17233;Destiny League;926047;1;41;35;True;21.0
8037481857;1375;1731690363;9545759.0;Waska;9546351;BladeBreakers;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926066;1;31;6;True;21.0
8037481401;1252;1731690443;9601097.0;;8538597;;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926067;1;34;13;True;21.0
8037473276;1948;1731690102;9498912.0;TiltedBoys;9600321;Mouth Esports;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926064;1;20;17;True;21.0
8037464815;2088;1731690049;9450071.0;Fusion Esports;8375259;Infinity;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926062;1;9;20;False;21.0
8037463957;1632;1731690003;8494848.0;Winter Bear;7554697;Nigma Galaxy;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926061;1;11;46;False;21.0
8037412739;1980;1731688092;2443375.0;Foxy gaming;9425660;Shadow Avengers;17233;Destiny League;926047;1;25;36;False;21.0
8037405530;1873;1731687809;2586976.0;OG;8599101;Gaimin Gladiators;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926032;1;11;20;False;21.0
8037393620;1944;1731687654;5014799.0;Nemiga Gaming;9162417;Nightshade Esports;17381;European Pro League  2024-2025 Season;926054;1;36;10;True;21.0
8037374013;1545;1731686802;2163.0;Team Liquid;9338413;MOUZ;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926036;1;29;6;True;21.0
8037360604;2643;1731686377;9594117.0;Team Flamingos;9587203;business club;17366;Ultras Dota Pro League  2024-25;926049;1;44;38;True;21.0
8037341620;1665;1731685847;9425660.0;Shadow Avengers;2443375;Foxy gaming;17233;Destiny League;926047;1;16;39;False;21.0
8037336060;2295;1731685598;9586420.0;KIBA ARMS;8831040;Ghost Sheep;17366;Ultras Dota Pro League  2024-25;926034;1;38;59;False;21.0
8037299349;1918;1731684439;9303383.0;L1GA TEAM;1838315;Team Secret;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926014;1;22;17;True;21.0
8037276386;1395;1731683741;8629324.0;Swift Knights;9425656;LSG;17233;Destiny League;926024;1;34;23;True;21.0
8037261872;1793;1731683385;9587203.0;business club;9594120;Team Flamingos;17366;Ultras Dota Pro League  2024-25;926038;1;27;47;False;21.0
8037248459;2180;1731682879;9338413.0;MOUZ;2163;Team Liquid;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926036;1;19;29;False;21.0
8037245474;1917;1731682806;8831040.0;Ghost Sheep;9586420;KIBA ARMS;17366;Ultras Dota Pro League  2024-25;926034;1;43;26;True;21.0
8037243899;2544;1731683063;9247798.0;Passion UA;9586122;4Pirates;17381;European Pro League  2024-2025 Season;925997;1;37;21;True;21.0
8037233908;3264;1731682387;8724984.0;Virtus.pro;9017006;NAVI Junior;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926012;1;41;22;True;21.0
8037233219;3206;1731682804;8599101.0;Gaimin Gladiators;2586976;OG;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926032;1;36;18;True;21.0
8037195477;1885;1731681196;9425656.0;LSG;8629324;Swift Knights;17233;Destiny League;926024;1;20;27;False;21.0
8037193634;2290;1731681545;7732977.0;BOOM Esports;9467224;Aurora Gaming;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926010;1;23;12;True;21.0
8037192667;2113;1731681072;9187903.0;Rogue Squad;9601305;Team Mansaf;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926001;1;25;38;False;21.0
8037141433;3228;1731679629;1838315.0;Team Secret;9303383;L1GA TEAM;17299;ESL One Bangkok 2024 Qualifiers powered by Intel;926014;1;35;49;False;21.0
